current,action,reward,next
"{'next_next_pipe_top_y': 153, 'player_vel': 0.0, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53, 'next_next_pipe_bottom_y': 253, 'next_pipe_dist_to_player': 159.0, 'next_next_pipe_dist_to_player': 303.0, 'player_y': 63.0}",119,0.0,"{'next_next_pipe_top_y': 153, 'player_vel': -8.0, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53, 'next_next_pipe_bottom_y': 253, 'next_pipe_dist_to_player': 155.0, 'next_next_pipe_dist_to_player': 299.0, 'player_y': 55.0}"
"{'next_next_pipe_top_y': 153, 'player_vel': -8.0, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53, 'next_next_pipe_bottom_y': 253, 'next_pipe_dist_to_player': 155.0, 'next_next_pipe_dist_to_player': 299.0, 'player_y': 55.0}",,0.0,"{'next_next_pipe_top_y': 153, 'player_vel': -8.0, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53, 'next_next_pipe_bottom_y': 253, 'next_pipe_dist_to_player': 151.0, 'next_next_pipe_dist_to_player': 295.0, 'player_y': 47.0}"
"{'next_next_pipe_top_y': 153, 'player_vel': -8.0, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53, 'next_next_pipe_bottom_y': 253, 'next_pipe_dist_to_player': 151.0, 'next_next_pipe_dist_to_player': 295.0, 'player_y': 47.0}",119,0.0,"{'next_next_pipe_top_y': 153, 'player_vel': -8.0, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53, 'next_next_pipe_bottom_y': 253, 'next_pipe_dist_to_player': 147.0, 'next_next_pipe_dist_to_player': 291.0, 'player_y': 39.0}"
"{'next_next_pipe_top_y': 153, 'player_vel': -8.0, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53, 'next_next_pipe_bottom_y': 253, 'next_pipe_dist_to_player': 147.0, 'next_next_pipe_dist_to_player': 291.0, 'player_y': 39.0}",,0.0,"{'next_next_pipe_top_y': 153, 'player_vel': -8.0, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53, 'next_next_pipe_bottom_y': 253, 'next_pipe_dist_to_player': 143.0, 'next_next_pipe_dist_to_player': 287.0, 'player_y': 31.0}"
"{'next_next_pipe_top_y': 153, 'player_vel': -8.0, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53, 'next_next_pipe_bottom_y': 253, 'next_pipe_dist_to_player': 143.0, 'next_next_pipe_dist_to_player': 287.0, 'player_y': 31.0}",119,0.0,"{'next_next_pipe_top_y': 153, 'player_vel': -8.0, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53, 'next_next_pipe_bottom_y': 253, 'next_pipe_dist_to_player': 139.0, 'next_next_pipe_dist_to_player': 283.0, 'player_y': 23.0}"
"{'next_next_pipe_top_y': 153, 'player_vel': -8.0, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53, 'next_next_pipe_bottom_y': 253, 'next_pipe_dist_to_player': 139.0, 'next_next_pipe_dist_to_player': 283.0, 'player_y': 23.0}",,0.0,"{'next_next_pipe_top_y': 153, 'player_vel': -8.0, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53, 'next_next_pipe_bottom_y': 253, 'next_pipe_dist_to_player': 135.0, 'next_next_pipe_dist_to_player': 279.0, 'player_y': 15.0}"
"{'next_next_pipe_top_y': 153, 'player_vel': -8.0, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53, 'next_next_pipe_bottom_y': 253, 'next_pipe_dist_to_player': 135.0, 'next_next_pipe_dist_to_player': 279.0, 'player_y': 15.0}",119,0.0,"{'next_next_pipe_top_y': 153, 'player_vel': -8.0, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53, 'next_next_pipe_bottom_y': 253, 'next_pipe_dist_to_player': 131.0, 'next_next_pipe_dist_to_player': 275.0, 'player_y': 7.0}"
"{'next_next_pipe_top_y': 153, 'player_vel': -8.0, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53, 'next_next_pipe_bottom_y': 253, 'next_pipe_dist_to_player': 131.0, 'next_next_pipe_dist_to_player': 275.0, 'player_y': 7.0}",,0.0,"{'next_next_pipe_top_y': 153, 'player_vel': -8.0, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53, 'next_next_pipe_bottom_y': 253, 'next_pipe_dist_to_player': 127.0, 'next_next_pipe_dist_to_player': 271.0, 'player_y': -1.0}"
"{'next_next_pipe_top_y': 153, 'player_vel': -8.0, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53, 'next_next_pipe_bottom_y': 253, 'next_pipe_dist_to_player': 127.0, 'next_next_pipe_dist_to_player': 271.0, 'player_y': -1.0}",119,-5.0,"{'next_next_pipe_top_y': 153, 'player_vel': -8.0, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53, 'next_next_pipe_bottom_y': 253, 'next_pipe_dist_to_player': 123.0, 'next_next_pipe_dist_to_player': 267.0, 'player_y': -9.0}"
"{'next_next_pipe_top_y': 80, 'player_vel': -8.0, 'next_pipe_bottom_y': 185, 'next_pipe_top_y': 85, 'next_next_pipe_bottom_y': 180, 'next_pipe_dist_to_player': 283, 'next_next_pipe_dist_to_player': 427.0, 'player_y': 256}",119,0.0,"{'next_next_pipe_top_y': 80, 'player_vel': -8.0, 'next_pipe_bottom_y': 185, 'next_pipe_top_y': 85, 'next_next_pipe_bottom_y': 180, 'next_pipe_dist_to_player': 279.0, 'next_next_pipe_dist_to_player': 423.0, 'player_y': 248.0}"
"{'next_next_pipe_top_y': 80, 'player_vel': -8.0, 'next_pipe_bottom_y': 185, 'next_pipe_top_y': 85, 'next_next_pipe_bottom_y': 180, 'next_pipe_dist_to_player': 279.0, 'next_next_pipe_dist_to_player': 423.0, 'player_y': 248.0}",119,0.0,"{'next_next_pipe_top_y': 80, 'player_vel': 0.0, 'next_pipe_bottom_y': 185, 'next_pipe_top_y': 85, 'next_next_pipe_bottom_y': 180, 'next_pipe_dist_to_player': 275.0, 'next_next_pipe_dist_to_player': 419.0, 'player_y': 248.0}"
"{'next_next_pipe_top_y': 80, 'player_vel': 0.0, 'next_pipe_bottom_y': 185, 'next_pipe_top_y': 85, 'next_next_pipe_bottom_y': 180, 'next_pipe_dist_to_player': 275.0, 'next_next_pipe_dist_to_player': 419.0, 'player_y': 248.0}",119,0.0,"{'next_next_pipe_top_y': 80, 'player_vel': -8.0, 'next_pipe_bottom_y': 185, 'next_pipe_top_y': 85, 'next_next_pipe_bottom_y': 180, 'next_pipe_dist_to_player': 271.0, 'next_next_pipe_dist_to_player': 415.0, 'player_y': 240.0}"
"{'next_next_pipe_top_y': 80, 'player_vel': -8.0, 'next_pipe_bottom_y': 185, 'next_pipe_top_y': 85, 'next_next_pipe_bottom_y': 180, 'next_pipe_dist_to_player': 271.0, 'next_next_pipe_dist_to_player': 415.0, 'player_y': 240.0}",119,0.0,"{'next_next_pipe_top_y': 80, 'player_vel': 0.0, 'next_pipe_bottom_y': 185, 'next_pipe_top_y': 85, 'next_next_pipe_bottom_y': 180, 'next_pipe_dist_to_player': 267.0, 'next_next_pipe_dist_to_player': 411.0, 'player_y': 240.0}"
"{'next_next_pipe_top_y': 80, 'player_vel': 0.0, 'next_pipe_bottom_y': 185, 'next_pipe_top_y': 85, 'next_next_pipe_bottom_y': 180, 'next_pipe_dist_to_player': 267.0, 'next_next_pipe_dist_to_player': 411.0, 'player_y': 240.0}",,0.0,"{'next_next_pipe_top_y': 80, 'player_vel': 1.0, 'next_pipe_bottom_y': 185, 'next_pipe_top_y': 85, 'next_next_pipe_bottom_y': 180, 'next_pipe_dist_to_player': 263.0, 'next_next_pipe_dist_to_player': 407.0, 'player_y': 241.0}"
"{'next_next_pipe_top_y': 80, 'player_vel': 1.0, 'next_pipe_bottom_y': 185, 'next_pipe_top_y': 85, 'next_next_pipe_bottom_y': 180, 'next_pipe_dist_to_player': 263.0, 'next_next_pipe_dist_to_player': 407.0, 'player_y': 241.0}",,0.0,"{'next_next_pipe_top_y': 80, 'player_vel': 2.0, 'next_pipe_bottom_y': 185, 'next_pipe_top_y': 85, 'next_next_pipe_bottom_y': 180, 'next_pipe_dist_to_player': 259.0, 'next_next_pipe_dist_to_player': 403.0, 'player_y': 243.0}"
"{'next_next_pipe_top_y': 80, 'player_vel': 2.0, 'next_pipe_bottom_y': 185, 'next_pipe_top_y': 85, 'next_next_pipe_bottom_y': 180, 'next_pipe_dist_to_player': 259.0, 'next_next_pipe_dist_to_player': 403.0, 'player_y': 243.0}",,0.0,"{'next_next_pipe_top_y': 80, 'player_vel': 3.0, 'next_pipe_bottom_y': 185, 'next_pipe_top_y': 85, 'next_next_pipe_bottom_y': 180, 'next_pipe_dist_to_player': 255.0, 'next_next_pipe_dist_to_player': 399.0, 'player_y': 246.0}"
"{'next_next_pipe_top_y': 80, 'player_vel': 3.0, 'next_pipe_bottom_y': 185, 'next_pipe_top_y': 85, 'next_next_pipe_bottom_y': 180, 'next_pipe_dist_to_player': 255.0, 'next_next_pipe_dist_to_player': 399.0, 'player_y': 246.0}",119,0.0,"{'next_next_pipe_top_y': 80, 'player_vel': -8.0, 'next_pipe_bottom_y': 185, 'next_pipe_top_y': 85, 'next_next_pipe_bottom_y': 180, 'next_pipe_dist_to_player': 251.0, 'next_next_pipe_dist_to_player': 395.0, 'player_y': 238.0}"
"{'next_next_pipe_top_y': 80, 'player_vel': -8.0, 'next_pipe_bottom_y': 185, 'next_pipe_top_y': 85, 'next_next_pipe_bottom_y': 180, 'next_pipe_dist_to_player': 251.0, 'next_next_pipe_dist_to_player': 395.0, 'player_y': 238.0}",119,0.0,"{'next_next_pipe_top_y': 80, 'player_vel': 0.0, 'next_pipe_bottom_y': 185, 'next_pipe_top_y': 85, 'next_next_pipe_bottom_y': 180, 'next_pipe_dist_to_player': 247.0, 'next_next_pipe_dist_to_player': 391.0, 'player_y': 238.0}"
"{'next_next_pipe_top_y': 80, 'player_vel': 0.0, 'next_pipe_bottom_y': 185, 'next_pipe_top_y': 85, 'next_next_pipe_bottom_y': 180, 'next_pipe_dist_to_player': 247.0, 'next_next_pipe_dist_to_player': 391.0, 'player_y': 238.0}",,0.0,"{'next_next_pipe_top_y': 80, 'player_vel': 1.0, 'next_pipe_bottom_y': 185, 'next_pipe_top_y': 85, 'next_next_pipe_bottom_y': 180, 'next_pipe_dist_to_player': 243.0, 'next_next_pipe_dist_to_player': 387.0, 'player_y': 239.0}"
